speed,current,duty_cycle,target_speed,timestamp
0.07425387175591022,0.1686440831523815,0.0,0.0,1731357465.411999
0,0.22731859637365193,0.0,0.0,1731357465.4225323
0,0.17569463536428925,0.0,0.0,1731357465.4345703
0,0.2324409058674312,0.0,0.0,1731357465.4467888
0.1029771983770923,0.21487800413182623,0.0,0.0,1731357465.4576917
0.1029771983770923,0.21487800413182623,0.0,0.0,1731357465.470405
0,0.16636543247012164,0.0,0.0,1731357465.4821877
0,0.25438760520002085,0.0,0.0,1731357465.4927127
0,0.20600828953087857,0.0,0.0,1731357465.5030656
0,0.22616771018269013,0.0,0.0,1731357465.5141475
0,0.22616771018269013,0.0,0.0,1731357465.5283558
0.03914535708553055,0.19702628050247514,0.0,0.0,1731357465.5390737
0.14123773662237657,0.22529124383281998,0.0,0.0,1731357465.5499375
0.2792802785241786,0.19975832108772312,0.0,0.0,1731357465.5604954
0.3602761151602692,0.17878206554646742,0.0,0.0,1731357465.5710366
0.045030747016157224,0.2239968036442685,0.0,0.0,1731357465.5811608
0,0.20851885489050098,0.0,0.0,1731357465.5921988
0,0.19225758194648349,0.0,0.0,1731357465.6049256
0,0.22932389322040816,0.0,0.0,1731357465.6166637
0,0.22204672622079752,0.0,0.0,1731357465.6271682
0,0.1874606016816877,0.0,0.0,1731357465.6373847
0.018463589659382915,0.21241750251833674,0.0,0.0,1731357465.6481047
0.0007682217449817524,0.18917651471007058,0.0,0.0,1731357465.6605847
0.0007682217449817524,0.18917651471007058,0.0,0.0,1731357465.6712542
0,0.2074166044053825,0.0,0.0,1731357465.68294
0,0.2273354372214376,0.0,0.0,1731357465.6944644
0.05349216974655579,0.19888160830666463,0.0,0.0,1731357465.7057488
0.07389326751203155,0.2133020776678279,0.0,0.0,1731357465.719282
0,0.18163341695615723,0.0,0.0,1731357465.7296422
0,0.18163341695615723,0.0,0.0,1731357465.7416248
0.11685005137781082,0.2306766314490413,0.0,0.0,1731357465.7516809
0.07373957072916956,0.15780368925665872,0.0,0.0,1731357465.7642322
0,0.2039220117144077,0.0,0.0,1731357465.7742682
0,0.2203083540038742,0.0,0.0,1731357465.7844572
0.09120355965823057,0.19413032510679662,0.0,0.0,1731357465.7972095
0.10632060677464328,0.17864779006088205,0.0,0.0,1731357465.8077312
0.05907131326799741,0.1963856626427105,0.0,0.0,1731357465.8184712
0.04899141790779437,0.1847888928014268,0.0,0.0,1731357465.8290093
0.04016646557677526,0.21469771665790124,0.0,0.0,1731357465.8516586
0,0.20269325816963937,0.0,0.0,1731357465.862961
0,0.20759272320430716,0.0,0.0,1731357465.8742876
0.1185069899886858,0.15992963657639886,0.0,0.0,1731357465.8848588
0,0.18975237549628016,0.0,0.0,1731357465.8962214
0,0.18975237549628016,0.0,0.0,1731357465.9073544
0.13176512940560367,0.17394824917015525,0.0,0.0,1731357465.9176652
0.12842979672760443,0.24003478025735336,0.0,0.0,1731357465.9280734
